ลำดับที่,ชื่อเมืองเก่า,จังหวัด,ภาค,"กลุ่ม
เมืองเก่า","เนื้อที่
(ตารางกิโลเมตร)",วันที่คณะรัฐมนตรีเห็นชอบขอบเขตพื้นที่เมืองเก่า,"วันที่ประกาศ
พื้นที่เมืองเก่า",แผนแม่บทและผังแม่บทการอนุรักษ์และพัฒนาบริเวณเมืองเก่า,แต่งตั้งคณะอนุกรรมการอนุรักษ์และพัฒนาเมืองเก่า,"หน่วยงานที่ทำหน้าที่
ฝ่ายเลขานุการ",
1,น่าน,น่าน,เหนือ,1,0.18 และ 0.13,20 ก.ย. 48,24 มี.ค. 49,ครม. เห็นชอบแล้ว,22 ม.ค. 63,สนง.วัฒนธรรม จ.น่าน ,
2,เชียงใหม่,เชียงใหม่,เหนือ,1,5.505,9 พ.ย. 53,13 ธ.ค. 53,จังหวัดดำเนินการแล้วเสร็จ,29 พ.ค. 62,ทสจ.เชียงใหม่,
3,ลำพูน,ลำพูน,เหนือ,1,0.648,8 มี.ค. 54,11 เม.ย. 54,ครม. เห็นชอบแล้ว,22 ม.ค. 63,ทสจ.ลำพูน,
4,ลำปาง,ลำปาง,เหนือ,1,3.804,9 พ.ย. 53,13 ธ.ค. 53,จังหวัดดำเนินการแล้วเสร็จ,30 ต.ค. 58,ทสจ.ลำปาง ,
5,พิษณุโลก ,พิษณุโลก ,กลาง,1,2.83,3 มี.ค. 63,17 มี.ค. 63,อยู่ระหว่างดำเนินการ,18 เม.ย. 61,ทสจ.พิษณุโลก,
6,กำแพงเพชร,กำแพงเพชร,กลาง,1,13.44,9 พ.ย. 53,13 ธ.ค. 53,อยู่ระหว่างดำเนินการ,30 ต.ค. 58,ทสจ.กำแพงเพชร ,
7,ลพบุรี,ลพบุรี,กลาง,1,1.729,9 พ.ย. 53,13 ธ.ค. 53,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,30 ต.ค. 58,ทสจ.ลพบุรี,
8,พิมาย,นครราชสีมา,ตะวันออกเฉียงเหนือ,1,10.799,9 พ.ย. 53,13 ธ.ค. 53,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,12 ต.ค. 60,ทสจ.นครราชสีมา,
9,นครศรีธรรมราช,นครศรีธรรมราช,ใต้,1,3.789,9 พ.ย. 53,13 ธ.ค. 53,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว, 9 ต.ค. 62,ทสจ.นครศรีธรรมราช,
10,สงขลา,สงขลา,ใต้,1,4.335,9 พ.ย. 53,13 ธ.ค. 53,จังหวัดดำเนินการแล้วเสร็จ,30 ต.ค. 58,ทสจ.สงขลา,
11,แพร่,แพร่,เหนือ,2,1.56,10 ก.พ. 58,10 มี.ค. 58,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,22 ก.พ. 60,ทสจ.แพร่,
12,เพชรบุรี,เพชรบุรี,ตะวันตก,2,1.85,10 ก.พ. 58,10 มี.ค. 58,อยู่ระหว่างดำเนินการ,3 ส.ค. 60,ทสจ.เพชรบุรี,
13,จันทบุรี,จันทบุรี,ตะวันออก,2,0.45,10 ก.พ. 58,10 มี.ค. 58,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,29 พ.ค. 62,ทสจ.จันทบุรี,
14,ปัตตานี,ปัตตานี,ใต้,2,2.35,10 ก.พ. 58,"10 มี.ค. 58 และ 
12 ธ.ค.61",จังหวัดดำเนินการแล้วเสร็จ,30 ต.ค. 58,ทสจ.ปัตตานี ,
15,เชียงราย,เชียงราย,เหนือ,2,1.27,12 พ.ค. 58,26 พ.ค. 58,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,22 ก.พ. 60,ทสจ.เชียงราย,
16,สุพรรณบุรี,สุพรรณบุรี,กลาง,2,3.8,12 พ.ค. 58,26 พ.ค. 58,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,22 ก.พ. 60,ทสจ. สุพรรณบุรี,
17,ระยอง,ระยอง,ตะวันออก,2,0.11,12 พ.ค. 58,26 พ.ค. 58,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,30 ต.ค. 58,ทสจ.ระยอง,
18,บุรีรัมย์,บุรีรัมย์,ตะวันออกเฉียงเหนือ,2,0.98,12 พ.ค. 58,26 พ.ค. 58,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,12 มิ.ย. 58,ทสจ.บุรีรัมย์,
19,ตะกั่วป่า,พังงา,ใต้,2,0.33,12 พ.ค. 58,26 พ.ค. 58,อยู่ระหว่างดำเนินการ,18 เม.ย. 61,ทสจ.พังงา,
20,พะเยา,พะเยา,เหนือ,2,2.99,5 เม.ย. 59,28 เม.ย. 59,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,22 ก.พ. 60,ทสจ.พะเยา,
21,ตาก,ตาก,ตะวันตก,2,0.49,5 เม.ย. 59,28 เม.ย. 59,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,16 มิ.ย. 59,ทสจ.ตาก,
22,นครราชสีมา,นครราชสีมา,ตะวันออกเฉียงเหนือ,2,1.91,5 เม.ย. 59,28 เม.ย. 59,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,12 ต.ค. 60,ทสจ.นครราชสีมา,
23,สกลนคร,สกลนคร,ตะวันออกเฉียงเหนือ,2,3.5,5 เม.ย. 59,28 เม.ย. 59,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,16 มิ.ย. 59,ทสจ.สกลนคร,
24,สตูล,สตูล,ใต้,2,0.85,5 เม.ย. 59,28 เม.ย. 59,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,12 ต.ค. 60,ทสจ.สตูล,
25,ราชบุรี,ราชบุรี,ตะวันตก,2,1.57,11 เม.ย. 60,12 พ.ค. 60,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,22 ม.ค. 63,ทสจ.ราชบุรี,
26,สุรินทร์,สุรินทร์,ตะวันออกเฉียงเหนือ,2,3.49,11 เม.ย. 60,12 พ.ค. 60,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,29 มิ.ย. 60,ทสจ.สุรินทร์,
27,ภูเก็ต,ภูเก็ต,ใต้,2,2.76,11 เม.ย. 60,12 พ.ค. 60,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,29 มิ.ย. 60,ทสจ.ภูเก็ต,
28,ระนอง,ระนอง,ใต้,2,1.67,11 เม.ย. 60,12 พ.ค. 60,คณะกรรมการอนุรักษ์และพัฒนากรุงรัตนโกสินทร์ และเมืองเก่า เห็นชอบแล้ว,29 มิ.ย. 60,ทสจ.ระนอง,
29,แม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,2,0.57,31 ก.ค. 61,18 ส.ค. 61,อยู่ระหว่างดำเนินการ,29 พ.ค. 62,ทสจ.แม่ฮ่องสอน,
30,กาญจนบุรี,กาญจนบุรี,ตะวันตก,2,1.08,31 ก.ค. 61,18 ส.ค. 61,อยู่ระหว่างดำเนินการ,6 พ.ย. 61,ทสจ.กาญจนบุรี,
31,ยะลา,ยะลา,ใต้,2,0.59 และ 0.51,31 ก.ค. 61,18 ส.ค. 61,อยู่ระหว่างดำเนินการ,12 ธ.ค. 61,ทสจ.ยะลา,
32,นราธิวาส,นราธิวาส,ใต้,2,1,31 ก.ค. 61,18 ส.ค. 61,อยู่ระหว่างดำเนินการ,6 พ.ย. 61,ทสจ.นราธิวาส,
33,ร้อยเอ็ด ,ร้อยเอ็ด ,ตะวันออกเฉียงเหนือ,2,3.01,6 ต.ค. 63,21 ต.ค. 63,อยู่ระหว่างดำเนินการ,31 ธ.ค. 63,ทสจ. ร้อยเอ็ด,
34,อุทัยธานี ,อุทัยธานี ,กลาง,2,1.69,27 เม.ย. 64,7 พ.ค. 64,อยู่ระหว่างดำเนินการ,1 พ.ค. 64,ทสจ.อุทัยธานี,
35,ตรัง ,ตรัง ,ใต้,2,1.91,27 เม.ย. 64,7 พ.ค. 64,อยู่ระหว่างดำเนินการ,1 พ.ค. 64,ทสจ.ตรัง,
36,ฉะเชิงเทรา,ฉะเชิงเทรา,ตะวันออก,2,3.96,27 เม.ย. 64,7 พ.ค. 64,อยู่ระหว่างดำเนินการ,1 พ.ค. 64,ทสจ.ฉะเชิงเทรา,
