ลำดับที่,ชื่อแหล่ง,ปีที่ขึ้นทะเบียนมรดกโลก (พ.ศ.),ประเภทแหล่งมรดกโลก,พื้นที่สำคัญ,อำเภอ,จังหวัด,ภาค,ละติจูด (N),ลองจิจูด (E),เว็บไซต์อ้างอิง (พิกัด)
1,นครประวัติศาสตร์พระนครศรีอยุธยา,2534,ทางวัฒนธรรม,อุทยานประวัติศาสตร์พระนครศรีอยุธยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กลาง,14 20 52.008,100 33 38.016,https://whc.unesco.org/en/list/576
2,เมืองประวัติศาสตร์สุโขทัยและเมืองบริวาร,2534,ทางวัฒนธรรม,1. อุทยานประวัติศาสตร์สุโขทัย,"เมืองสุโขทัย
",สุโขทัย,กลาง,17 0 26.00,99 47 23.00,https://whc.unesco.org/en/list/574
2,เมืองประวัติศาสตร์สุโขทัยและเมืองบริวาร,2534,ทางวัฒนธรรม,2. อุทยานประวัติศาสตร์ศรีสัชนาลัย,ศรีสัชนาลัย,สุโขทัย,กลาง,17 31 26.20,99 47 11.50 ,https://whc.unesco.org/en/list/574
2,เมืองประวัติศาสตร์สุโขทัยและเมืองบริวาร,2534,ทางวัฒนธรรม,3. อุทยานประวัติศาสตร์กำแพงเพชร,เมืองกำแพงเพชร,กำแพงเพชร,กลาง,16 28 0.00,99 30 0.00,https://whc.unesco.org/en/list/574
3,เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวร – ห้วยขาแข้ง,2534,ทางธรรมชาติ,1. เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันออก,อุ้มผาง,ตาก,ตะวันตก,15 19 59.988,98 55 0.012,https://whc.unesco.org/en/list/591
3,เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวร – ห้วยขาแข้ง,2534,ทางธรรมชาติ,2. เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก,ทองผาภูมิ,กาญจนบุรี,ตะวันตก,15 19 59.988,98 55 0.012,https://whc.unesco.org/en/list/591
3,เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวร – ห้วยขาแข้ง,2534,ทางธรรมชาติ,2. เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวรด้านตะวันตก,สังขละบุรี,กาญจนบุรี,ตะวันตก,15 19 59.988,98 55 0.012,https://whc.unesco.org/en/list/591
3,เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวร – ห้วยขาแข้ง,2534,ทางธรรมชาติ,3. เขตรักษาพันธุ์สัตว์ป่าห้วยขาแข้ง,อุ้มผาง,ตาก,ตะวันตก,15 19 59.988,98 55 0.012,https://whc.unesco.org/en/list/591
3,เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวร – ห้วยขาแข้ง,2534,ทางธรรมชาติ,3. เขตรักษาพันธุ์สัตว์ป่าห้วยขาแข้ง,บ้านไร่,อุทัยธานี,กลาง,15 19 59.988,98 55 0.012,https://whc.unesco.org/en/list/591
3,เขตรักษาพันธุ์สัตว์ป่าทุ่งใหญ่นเรศวร – ห้วยขาแข้ง,2534,ทางธรรมชาติ,3. เขตรักษาพันธุ์สัตว์ป่าห้วยขาแข้ง,ลานสัก,อุทัยธานี,กลาง,15 19 59.988,98 55 0.012,https://whc.unesco.org/en/list/591
4,แหล่งโบราณคดีบ้านเชียง,2535,ทางวัฒนธรรม,แหล่งโบราณคดีบ้านเชียง,หนองหาน,อุดรธานี,ตะวันออกเฉียงเหนือ,17 24 27.979,103 14 15.32,https://whc.unesco.org/en/list/575
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,1. อุทยานแห่งชาติเขาใหญ่,บ้านนา,นครนายก,กลาง,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,1. อุทยานแห่งชาติเขาใหญ่,ปากพลี,นครนายก,กลาง,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,1. อุทยานแห่งชาติเขาใหญ่,เมืองนครนายก,นครนายก,กลาง,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,1. อุทยานแห่งชาติเขาใหญ่,ปากช่อง,นครราชสีมา,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,1. อุทยานแห่งชาติเขาใหญ่,ประจันตคาม,ปราจีนบุรี,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,1. อุทยานแห่งชาติเขาใหญ่,กบินทร์บุรี,ปราจีนบุรี,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,1. อุทยานแห่งชาติเขาใหญ่,แก่งคอย,สระบุรี,กลาง,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,2. อุทยานแห่งชาติทับลาน,ปักธงชัย,นครราชสีมา,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,2. อุทยานแห่งชาติทับลาน,วังน้ำเขียว,นครราชสีมา,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,2. อุทยานแห่งชาติทับลาน,ครบุรี,นครราชสีมา,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,2. อุทยานแห่งชาติทับลาน,เสิงสาง,นครราชสีมา,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,2. อุทยานแห่งชาติทับลาน,นาดี,ปราจีนบุรี,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,3. อุทยานแห่งชาติปางสีดา,นาดี,ปราจีนบุรี,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,3. อุทยานแห่งชาติปางสีดา,เมืองสระแก้ว,สระแก้ว,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,3. อุทยานแห่งชาติปางสีดา,ตาพระยา,สระแก้ว,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,3. อุทยานแห่งชาติปางสีดา,วัฒนานคร,สระแก้ว,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,4. อุทยานแห่งชาติตาพระยา,บ้านกรวด,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,4. อุทยานแห่งชาติตาพระยา,โนนดินแดง,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,4. อุทยานแห่งชาติตาพระยา,ละหานทราย,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,4. อุทยานแห่งชาติตาพระยา,ตาพระยา,สระแก้ว,ตะวันออก ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,5. เขตรักษาพันธุ์สัตว์ป่าดงใหญ่,ปะคำ,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
5,พื้นที่กลุ่มป่าดงพญาเย็น – เขาใหญ่,2548,ทางธรรมชาติ,5. เขตรักษาพันธุ์สัตว์ป่าดงใหญ่,โนนดินแดง,บุรีรัมย์,ตะวันออกเฉียงเหนือ,14 19 48,102 2 60,https://whc.unesco.org/en/list/590
6,พื้นที่กลุ่มป่าแก่งกระจาน,2564,ทางธรรมชาติ,1. เขตรักษาพันธุ์สัตว์ป่าแม่น้ำภาชี ,บ้านคา,ราชบุรี,ตะวันตก,12 51 56,99 24 0.6,https://whc.unesco.org/en/list/1461
6,พื้นที่กลุ่มป่าแก่งกระจาน,2564,ทางธรรมชาติ,2. อุทยานแห่งชาติเฉลิมพระเกียรติไทยประจัน,บ้านคา,ราชบุรี,ตะวันตก,12 51 56,99 24 0.6,https://whc.unesco.org/en/list/1461
6,พื้นที่กลุ่มป่าแก่งกระจาน,2564,ทางธรรมชาติ,3. อุทยานแห่งชาติแก่งกระจาน ,แก่งกระจาน,เพชรบุรี,ตะวันตก,12 51 56,99 24 0.6,https://whc.unesco.org/en/list/1461
6,พื้นที่กลุ่มป่าแก่งกระจาน,2564,ทางธรรมชาติ,4. อุทยานแห่งชาติกุยบุรี  ,กุยบุรี,ประจวบคีรีขันธ์,ตะวันตก,12 51 56,99 24 0.6,https://whc.unesco.org/en/list/1461
